iter	Logloss
0	0.6900065014
1	0.6874013149
2	0.684737547
3	0.6823016055
4	0.6799578148
5	0.6780953769
6	0.6763122438
7	0.6745962644
8	0.6731401993
9	0.671867106
10	0.6707042633
11	0.6696240262
12	0.6684329103
13	0.6665593724
14	0.6655755481
15	0.664680415
16	0.6637660903
17	0.6629529072
18	0.662240679
19	0.6615075073
20	0.6607312496
21	0.6601297957
22	0.6593384759
23	0.6588094745
24	0.6583606704
25	0.6579005977
26	0.657027726
27	0.6564419906
28	0.6559284489
29	0.6554652123
30	0.6549250297
31	0.6545917523
32	0.6540769868
33	0.6531820067
34	0.6527880106
35	0.6521519175
36	0.6518419668
37	0.6513147799
38	0.6508712445
39	0.6504178069
40	0.6502139498
41	0.650021115
42	0.6497843721
43	0.649406176
44	0.649190236
45	0.6489346361
46	0.648658626
47	0.6480448552
48	0.6477951765
49	0.6474376205
50	0.6472889226
51	0.6470814426
52	0.646899724
53	0.6465937079
54	0.6460551483
55	0.6458324749
56	0.6454834201
57	0.6452081977
58	0.644988747
59	0.6448238716
60	0.6445181791
61	0.6442809516
62	0.6440953046
63	0.6439881557
64	0.6437473126
65	0.6434337479
66	0.6432277097
67	0.6430340196
68	0.6429120702
69	0.6426166737
70	0.6424774836
71	0.6423444673
72	0.6421903738
73	0.6420104442
74	0.6418719914
75	0.6416655442
76	0.6415697288
77	0.6414254323
78	0.6411749226
79	0.6410383622
80	0.6408241686
81	0.6405968521
82	0.6403416486
83	0.6401397816
84	0.6399762134
85	0.6397570262
86	0.6396298976
87	0.639538343
88	0.6393284781
89	0.6389122012
90	0.638542781
91	0.6383457569
92	0.6382333834
93	0.638121037
94	0.6379613721
95	0.6377785545
96	0.6374691491
97	0.6373270736
98	0.6371685859
99	0.6370510954
100	0.6368484888
101	0.636685805
102	0.6365351369
103	0.636301262
104	0.6360368795
105	0.6359654508
106	0.6356929091
107	0.6354003359
108	0.6350636213
109	0.6348917981
110	0.6346453095
111	0.6344764885
112	0.6341056668
113	0.6339161317
114	0.6337711023
115	0.6333353845
116	0.6330906642
117	0.6328993261
118	0.6326393139
119	0.6325114955
120	0.6324031916
121	0.6321653602
122	0.6318564416
123	0.6315007594
124	0.6313349532
125	0.6309572914
126	0.6307446854
127	0.630517705
128	0.630187667
129	0.6300389245
130	0.6297737645
131	0.6295923169
132	0.629355599
133	0.6291504797
134	0.6289493709
135	0.6286857918
136	0.6285429156
137	0.6282371758
138	0.6279970456
139	0.627837814
140	0.6275229815
141	0.6273509184
142	0.6272758946
143	0.6269523068
144	0.6267640259
145	0.6265176545
146	0.6263573756
147	0.6261448376
148	0.6260189985
149	0.6258745302
150	0.625674215
151	0.6255115469
152	0.6252475483
153	0.6251271987
154	0.6249411602
155	0.624666213
156	0.6243488086
