iter	Passed	Remaining
0	66	66929
1	72	35979
2	76	25502
3	80	20161
4	85	16939
5	89	14816
6	93	13265
7	97	12144
8	102	11276
9	106	10568
10	111	9995
11	115	9494
12	119	9096
13	124	8777
14	129	8473
15	134	8252
16	138	7998
17	142	7798
18	147	7609
19	151	7420
20	156	7293
21	160	7141
22	164	7001
23	168	6867
24	173	6759
25	177	6646
26	182	6570
27	186	6479
28	191	6399
29	196	6337
30	200	6260
31	204	6190
32	209	6126
33	213	6074
34	218	6014
35	222	5963
36	226	5899
37	231	5848
38	236	5815
39	239	5758
40	244	5713
41	248	5670
42	252	5626
43	257	5592
44	261	5557
45	266	5528
46	270	5484
47	274	5452
48	279	5418
49	283	5379
50	286	5339
51	291	5307
52	294	5270
53	299	5247
54	304	5225
55	308	5193
56	312	5168
57	316	5140
58	320	5114
59	324	5089
60	329	5064
61	333	5042
62	337	5021
63	341	4990
64	345	4975
65	350	4955
66	353	4927
67	357	4900
68	361	4877
69	365	4859
70	369	4836
71	373	4815
72	378	4800
73	382	4780
74	385	4759
75	390	4746
76	394	4731
77	398	4714
78	403	4704
79	407	4689
80	412	4675
81	416	4664
82	421	4653
83	425	4638
84	429	4624
85	433	4606
86	437	4594
87	441	4579
88	446	4565
89	450	4551
90	454	4537
91	459	4532
92	463	4516
93	467	4502
94	471	4491
95	475	4478
96	480	4469
97	484	4455
98	487	4440
99	492	4429
100	496	4417
101	500	4407
102	504	4396
103	509	4387
104	513	4379
105	517	4367
106	522	4357
107	526	4349
108	531	4341
109	535	4329
110	539	4320
111	543	4308
112	547	4299
113	552	4296
114	556	4283
115	561	4276
116	566	4272
117	570	4264
118	575	4257
119	579	4248
120	583	4238
121	588	4234
122	593	4229
123	598	4224
124	602	4215
125	606	4209
126	610	4199
127	615	4191
128	619	4185
129	623	4174
130	628	4167
131	632	4156
132	636	4147
133	640	4140
134	644	4132
135	649	4125
136	653	4116
137	657	4109
138	661	4099
139	665	4089
140	670	4083
141	674	4074
142	678	4066
143	683	4060
144	687	4052
145	691	4045
146	695	4036
147	700	4029
148	704	4022
149	708	4012
150	712	4004
151	716	3996
152	721	3993
153	725	3987
154	730	3981
155	735	3977
156	740	3973
